id,name,addr1,addr2,lat,lon,bikes_avail,spots_avail,spots_total,status,status_key,test_stn
329,Greenwich St & N Moore St,Greenwich St & N Moore St,,40.72043411,-74.01020609,29,2,31,In Service,1,False
330,Reade St & Broadway,Reade St & Broadway,,40.71450451,-74.00562789,30,9,39,In Service,1,False
331,Pike St & Monroe St,Pike St & Monroe St,,40.71173107,-73.99193043,3,24,27,In Service,1,False
332,Cherry St,Cherry St,,40.71219906,-73.97948148,0,24,24,In Service,1,False
334,W 20 St & 7 Ave,W 20 St & 7 Ave,,40.74238787,-73.99726235,2,29,31,In Service,1,False
335,Washington Pl & Broadway,Washington Pl & Broadway,,40.72903917,-73.99404649,24,3,27,In Service,1,False
336,Sullivan St & Washington Sq,Sullivan St & Washington Sq,,40.73047747,-73.99906065,15,21,36,In Service,1,False
337,Old Slip & Front St,Old Slip & Front St,,40.7037992,-74.00838676,36,1,37,In Service,1,False
339,Avenue D & E 12 St,Avenue D & E 12 St,,40.72580614,-73.97422494,0,24,24,In Service,1,False
340,Madison St & Clinton St,Madison St & Clinton St,,40.71269042,-73.98776323,4,23,27,In Service,1,False
341,Stanton St & Mangin St,Stanton St & Mangin St,,40.71782143,-73.97628939,11,8,19,In Service,1,False
342,Columbia St & Rivington St,Columbia St & Rivington St,,40.71739973,-73.98016555,0,29,29,In Service,1,False
343,Clinton Ave & Flushing Ave,Clinton Ave & Flushing Ave,,40.69794,-73.96986848,19,4,23,In Service,1,False
344,Monroe St & Bedford Ave,Monroe St & Bedford Ave,,40.6851443,-73.95380904,4,19,23,In Service,1,False
345,W 13 St & 6 Ave,W 13 St & 6 Ave,,40.73649403,-73.99704374,25,10,35,In Service,1,False
346,Bank St & Hudson St,Bank St & Hudson St,,40.73652889,-74.00618026,0,27,27,In Service,1,False
347,W Houston St & Hudson St,W Houston St & Hudson St,,40.72873888,-74.00748842,27,8,35,In Service,1,False
348,W Broadway & Spring St,W Broadway & Spring St,,40.72490985,-74.00154702,27,15,42,In Service,1,False
349,Rivington St & Ridge St,Rivington St & Ridge St,,40.71850211,-73.98329859,0,23,23,In Service,1,False
350,Clinton St & Grand St,Clinton St & Grand St,,40.71559509,-73.9870295,0,28,28,In Service,1,False
351,Front St & Maiden Ln,Front St & Maiden Ln,,40.70530954,-74.00612572,39,0,39,In Service,1,False
352,W 56 St & 6 Ave,W 56 St & 6 Ave,,40.76340613,-73.97722479,36,0,36,In Service,1,False
353,S Portland Ave & Hanson Pl,S Portland Ave & Hanson Pl,,40.68539567,-73.97431458,0,27,27,In Service,1,False
354,Emerson Pl & Myrtle Ave,Emerson Pl & Myrtle Ave,,40.69363137,-73.96223558,12,19,31,In Service,1,False
355,Bayard St & Baxter St,Bayard St & Baxter St,,40.71602118,-73.99974372,29,14,43,In Service,1,False
356,Bialystoker Pl & Delancey St,Bialystoker Pl & Delancey St,,40.71622644,-73.98261206,2,21,23,In Service,1,False
357,E 11 St & Broadway,E 11 St & Broadway,,40.73261787,-73.99158043,9,18,27,In Service,1,False
358,Christopher St & Greenwich St,Christopher St & Greenwich St,,40.73291553,-74.00711384,2,34,36,In Service,1,False
359,E 47 St & Park Av,E 47 St & Park Ave,,40.75510267,-73.97498696,49,6,55,In Service,1,False
360,William St & Pine St,William St & Pine St,,40.70717936,-74.00887308,34,5,39,In Service,1,False
361,Allen St & Hester St,Allen St & Hester St,,40.71605866,-73.99190759,7,36,43,In Service,1,False
362,Broadway & W 37 St,Broadway & W 37 St,,40.75172632,-73.98753523,5,52,57,In Service,1,False
363,West Thames St,West Thames St,,40.70834698,-74.01713445,4,45,49,In Service,1,False
364,Lafayette Ave & Classon Ave,Lafayette Ave & Classon Ave,,40.68900443,-73.96023854,8,19,27,In Service,1,False
365,Fulton St & Grand Ave,Fulton St & Grand Ave,,40.68223166,-73.9614583,3,28,31,In Service,1,False
366,Clinton Ave & Myrtle Ave,Clinton Ave & Myrtle Ave,,40.693261,-73.968896,0,33,33,In Service,1,False
367,E 53 St & Lexington Ave,E 53 St & Lexington Ave,,40.75828065,-73.97069431,34,0,34,In Service,1,False
368,Carmine St & 6 Ave,Carmine St & 6 Ave,,40.73038599,-74.00214988,34,5,39,In Service,1,False
369,Washington Pl & 6 Ave,Washington Pl & 6 Ave,,40.73224119,-74.00026394,0,35,35,In Service,1,False
372,Franklin Ave & Myrtle Ave,Franklin Ave & Myrtle Ave,,40.694528,-73.958089,0,27,27,In Service,1,False
373,Willoughby Ave & Walworth St,Willoughby Ave & Walworth St,,40.69331716,-73.95381995,6,13,19,In Service,1,False
375,Mercer St & Bleecker St,Mercer St & Bleecker St,,40.72679454,-73.99695094,20,10,30,In Service,1,False
376,John St & William St,John St & William St,,40.70862144,-74.00722156,11,32,43,In Service,1,False
377,6 Ave & Canal St,6 Ave & Canal St,,40.72243797,-74.00566443,41,6,47,In Service,1,False
379,W 31 St & 7 Ave,W 31 St & 7 Ave,,40.749156,-73.9916,0,42,42,In Service,1,False
380,W 4 St & 7 Ave S,W 4 St & 7 Ave S,,40.73401143,-74.00293877,1,38,39,In Service,1,False
382,University Pl & E 14 St,University Pl & E 14 St,,40.73492695,-73.99200509,34,2,36,In Service,1,False
383,Greenwich Ave & Charles St,Greenwich Ave & Charles St,,40.735238,-74.000271,0,39,39,In Service,1,False
384,Fulton St & Waverly Ave,Fulton St & Waverly Ave,,40.68317813,-73.9659641,1,30,31,In Service,1,False
385,E 55 St & 2 Ave,E 55 St & 2 Ave,,40.75797322,-73.96603308,3,26,29,In Service,1,False
386,Centre St & Worth St,Centre St & Worth St,,40.71494807,-74.00234482,31,12,43,In Service,1,False
387,Centre St & Chambers St,Centre St & Chambers St,,40.71273266,-74.0046073,23,16,39,In Service,1,False
388,W 26 St & 10 Ave,W 26 St & 10 Ave,,40.749717753,-74.002950346,31,4,35,In Service,1,False
389,Broadway & Berry St,Broadway & Berry St,,40.71044554,-73.96525063,0,27,27,In Service,1,False
390,Duffield St & Willoughby St,Duffield St & Willoughby St,,40.69221589,-73.9842844,11,20,31,In Service,1,False
391,Clark St & Henry St,Clark St & Henry St,,40.69760127,-73.99344559,0,30,30,In Service,1,False
392,Jay St & Tech Pl,Jay St & Tech Pl,,40.695065,-73.987167,26,6,32,In Service,1,False
393,E 5 St & Avenue C,E 5 St & Avenue C,,40.72299208,-73.97995466,0,31,31,In Service,1,False
394,E 9 St & Avenue C,E 9 St & Avenue C,,40.72521311,-73.97768752,0,36,36,In Service,1,False
395,Bond St & Schermerhorn St,Bond St & Schermerhorn St,,40.68807003,-73.98410637,0,30,30,In Service,1,False
396,Lefferts Pl & Franklin Ave,Lefferts Pl & Franklin Ave,,40.680342423,-73.9557689392,0,25,25,In Service,1,False
397,Fulton St & Clermont Ave,Fulton St & Clermont Ave,,40.68415748,-73.96922273,0,27,27,In Service,1,False
398,Atlantic Ave & Furman St,Atlantic Ave & Furman St,,40.69165183,-73.9999786,0,31,31,In Service,1,False
399,Lafayette Ave & St James Pl,Lafayette Ave & St James Pl,,40.68851534,-73.9647628,0,27,27,In Service,1,False
400,Pitt St & Stanton St,Pitt St & Stanton St,,40.71926081,-73.98178024,0,15,15,In Service,1,False
401,Allen St & Rivington St,Allen St & Rivington St,,40.72019576,-73.98997825,1,41,42,In Service,1,False
402,Broadway & E 22 St,Broadway & E 22 St,,40.7403432,-73.98955109,39,3,42,In Service,1,False
403,E 2 St & 2 Ave,E 2 St & 2 Ave,,40.72502876,-73.99069656,4,27,31,In Service,1,False
404,9 Ave & W 14 St,9 Ave & W 14 St,,40.7405826,-74.00550867,33,6,39,In Service,1,False
405,Washington St & Gansevoort St,Washington St & Gansevoort St,,40.739323,-74.008119,22,18,40,In Service,1,False
406,Hicks St & Montague St,Hicks St & Montague St,,40.69512845,-73.99595065,0,34,34,In Service,1,False
407,Henry St & Poplar St,Henry St & Poplar St,,40.700469,-73.991454,0,43,43,In Service,1,False
408,Market St & Cherry St,Market St & Cherry St,,40.71076228,-73.99400398,4,19,23,In Service,1,False
409,DeKalb Ave & Skillman St,DeKalb Ave & Skillman St,,40.6906495,-73.95643107,9,10,19,In Service,1,False
410,Suffolk St & Stanton St,Suffolk St & Stanton St,,40.72066442,-73.98517977,3,32,35,In Service,1,False
411,E 6 St & Avenue D,E 6 St & Avenue D,,40.72228087,-73.97668709,0,23,23,In Service,1,False
412,Forsyth St & Canal St,Forsyth St & Canal St,,40.7158155,-73.99422366,6,23,29,In Service,1,False
414,Pearl St & Anchorage Pl,Pearl St & Anchorage Pl,,40.70281858,-73.98765762,22,2,24,In Service,1,False
415,Pearl St & Hanover Square,Pearl St & Hanover Square,,40.7047177,-74.00926027,41,1,42,In Service,1,False
416,Cumberland St & Lafayette Ave,Cumberland St & Lafayette Ave,,40.68753406,-73.97265183,0,31,31,In Service,1,False
417,Barclay St & Church St,Barclay St & Church St,,40.71291224,-74.01020234,3,44,47,In Service,1,False
418,Front St & Gold St,Front St & Gold St,,40.70224,-73.982578,20,3,23,In Service,1,False
419,Carlton Ave & Park Ave,Carlton Ave & Park Ave,,40.69580705,-73.97355569,6,17,23,In Service,1,False
420,Clermont Ave & Lafayette Ave,Clermont Ave & Lafayette Ave,,40.68764484,-73.96968902,1,22,23,In Service,1,False
421,Clermont Ave & Park Ave,Clermont Ave & Park Ave,,40.69573398,-73.97129668,2,17,19,In Service,1,False
422,W 59 St & 10 Ave,W 59 St & 10 Ave,,40.770513,-73.988038,3,52,55,In Service,1,False
423,W 54 St & 9 Ave,W 54 St & 9 Ave,,40.76584941,-73.98690506,1,38,39,In Service,1,False
426,West St & Chambers St,West St & Chambers St,,40.71754834,-74.01322069,23,8,31,In Service,1,False
427,State St,State St,,40.70251526,-74.01427023,34,25,59,In Service,1,False
428,E 3 St & 1 Ave,E 3 St & 1 Ave,,40.72467721,-73.98783413,0,31,31,In Service,1,False
430,York St & Jay St,York St & Jay St,,40.7014851,-73.98656928,23,4,27,In Service,1,False
431,Hanover Pl & Livingston St,Hanover Pl & Livingston St,,40.68864636,-73.98263429,2,28,30,In Service,1,False
432,E 7 St & Avenue A,E 7 St & Avenue A,,40.72621788,-73.98379855,0,31,31,In Service,1,False
433,E 13 St & Avenue A,E 13 St & Avenue A,,40.72955361,-73.98057249,1,38,39,In Service,1,False
434,9 Ave & W 18 St,9 Ave & W 18 St,,40.74317449,-74.00366443,26,1,27,In Service,1,False
435,W 21 St & 6 Ave,W 21 St & 6 Ave,,40.74173969,-73.99415556,41,6,47,In Service,1,False
436,Hancock St & Bedford Ave,Hancock St & Bedford Ave,,40.68216564,-73.95399026,0,27,27,In Service,1,False
437,Macon St & Nostrand Ave,Macon St & Nostrand Ave,,40.6809833854,-73.9500479759,5,22,27,In Service,1,False
438,St Marks Pl & 1 Ave,St Marks Pl & 1 Ave,,40.72779126,-73.98564945,1,26,27,In Service,1,False
439,E 4 St & 2 Ave,E 4 St & 2 Ave,,40.7262807,-73.98978041,0,39,39,In Service,1,False
440,E 45 St & 3 Ave,E 45 St & 3 Ave,,40.75255434,-73.97282625,32,0,32,In Service,1,False
441,E 52 St & 2 Ave,E 52 St & 2 Ave,,40.756014,-73.967416,7,28,35,In Service,1,False
442,W 27 St & 7 Ave,W 27 St & 7 Ave,,40.746647,-73.993915,7,44,51,In Service,1,False
